index,statefp,state,countyfp,county,unique.name,hurricane,zcta,time.seconds,track_order,wind_order,rain_order,track_rate,wind_rate,rain_rate,track_bid1,wind_bid1,rain_bid1,track_answer1,wind_answer1,rain_answer1,track_bid2,wind_bid2,rain_bid2,track_answer2,wind_answer2,rain_answer2,mean.inc18,female,experience,evacuate,voice,action,long_risk,age,owner,tenure,short_risk,hurricane_awareness,fema_awareness,nfip_awareness,damage,hh_size,dist.shore,loss,fem_20ws,fem_30ws,fem_40ws,fem_50ws,meaninc_20ws,meaninc_30ws,meaninc_40ws,meaninc_50ws,ownr_20ws,ownr_30ws,ownr_40ws,ownr_50ws,tax,personal,worth,costly,trust,mean.inc11,US_inc18,dif_mean
892,37,north carolina,135,orange,north carolina orange,florence,27516,324,3,1,2,3,1,3,42,16,8,0,0,0,33.6,12.8,6.4,1,0,0,125797,1,1,0,2,2,0.2,21,0,1.333333333,0.02,2,2,2,0,2,199237.9882,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,0,1,112190.92,68372.58687,3.37390339
893,37,north carolina,93,hoke,north carolina hoke,florence,28376,352,3,1,2,1,3,2,38,3,27,0,1,0,30.4,3.6,21.6,0,0,0,60348,0,1,0,2,2,0.01,26,0,3,0.01,2,0,0,0,2,141173.4654,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,1,0,63154.57,68372.58687,-4.514064815
894,37,north carolina,107,lenoir,north carolina lenoir,florence,28504,576,1,2,3,1,1,3,4,33,22,0,0,0,3.2,26.4,17.6,1,0,0,64913,1,0,0,2,1,0.001,45,0,0.416666667,0.001,4,2,2,0,3,60637.54448,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,0,0,66250.77,68372.58687,45.2351375
895,37,north carolina,125,moore,north carolina moore,florence,28387,432,1,2,3,3,3,1,6,40,44,1,0,0,7.2,32,35.2,1,0,0,88034,1,0,0,3,3,1.00E-04,68,1,1,1.00E-04,2,0,0,0,2,165170.1243,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,1,0,71903.03,68372.58687,-6.269795238
896,37,north carolina,51,cumberland,north carolina cumberland,florence,28306,672,3,1,2,1,1,1,19,4,1,0,1,1,15.2,4.8,1.2,0,1,1,68343,0,0,0,4,4,0.002,50,1,0.833333333,2.00E-04,3,2,2,0,5,121672.1311,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,1,0,0,0,69880.33,68372.58687,13.439081
897,45,south carolina,31,darlington,south carolina darlington,florence,29532,365,3,2,1,3,3,1,29,39,4,1,1,1,34.8,46.8,4.8,1,0,1,49160,1,1,0,5,5,0.2,30,1,8,0.2,4,4,4,1,3,111655.9765,2,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,1,0,53693.08,68372.58687,-23.42718409
898,37,north carolina,133,onslow,north carolina onslow,florence,28445,577,3,2,1,3,2,3,29,10,36,0,0,0,23.2,8,28.8,0,1,1,81251,1,1,0,3,3,0.05,35,1,1,0.1,3,3,3,0,2,5651.936289,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,1,0,63632.56,68372.58687,52.74634262
899,45,south carolina,41,florence,south carolina florence,florence,29501,510,1,3,2,2,2,1,37,22,27,0,0,0,29.6,17.6,21.6,0,0,0,74294,0,1,0,1,1,0.05,57,1,19,0.05,3,3,2,1,1,103210.1001,3,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,1,0,0,1,79139.55,68372.58687,-24.61773308
900,37,north carolina,129,new hanover,north carolina new hanover,florence,28411,580,1,3,2,1,1,2,46,4,45,1,1,1,55.2,4.8,54,0,1,0,95454,1,1,1,2,2,0.1,24,0,4,0.01,2,1,0,0,3,4071.787375,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,1,0,0,94868.02,68372.58687,25.90127429
901,37,north carolina,147,pitt,north carolina pitt,florence,27834,508,1,3,2,2,3,3,43,27,21,1,1,0,51.6,32.4,16.8,1,1,1,49882,1,1,0,4,2,0.05,26,0,3,0.002,4,4,3,0,6,39955.2081,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,1,0,49942.61,68372.58687,27.57499429
902,37,north carolina,191,wayne,north carolina wayne,florence,27534,476,2,1,3,1,2,1,36,27,50,0,0,0,28.8,21.6,40,0,0,0,63269,1,1,1,4,4,2.00E-04,38,0,1.166666667,1.00E-04,3,3,1,0,2,83022.42465,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,1,0,66349.08,68372.58687,37.11820667
903,45,south carolina,25,chesterfield,south carolina chesterfield,florence,29520,440,1,2,3,3,1,1,38,2,3,1,1,1,45.6,2.4,3.6,1,1,1,55978,1,1,1,4,4,0.05,38,0,0.833333333,0.2,2,2,2,0,3,145987.8854,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,0,0,45655.39,68372.58687,-21.11848561
