geoid,tot.pop18,male.pop18,fem.pop18,med.inc18,mean.inc18,mean.inc18.moe,zcta
8600000US01944,4159,1994,2165,124025,180589,21586,01944
8600000US01945,15683,7110,8573,115511,170933,13464,01945
8600000US01949,7854,4079,3775,102604,143463,16213,01949
8600000US01950,14441,6589,7852,103220,137592,9236,01950
8600000US01951,3147,1215,1932,97083,132780,25916,01951
8600000US01952,7598,3707,3891,78355,94126,12426,01952
8600000US01960,43188,20310,22878,68214,88380,2918,01960
8600000US01966,6062,2527,3535,81681,102211,8560,01966
8600000US01969,4902,2313,2589,114063,165590,45271,01969
8600000US01970,35854,16021,19833,65495,83314,4469,01970
8600000US01982,5915,2874,3041,133333,147832,10677,01982
8600000US01983,4819,2282,2537,136812,149219,14266,01983
8600000US01984,4331,1812,2519,109712,172500,24263,01984
8600000US01985,3503,1703,1800,138403,170053,22123,01985
8600000US02019,13281,6610,6671,99569,122506,10541,02019
8600000US02021,18006,8326,9680,105371,135556,6745,02021
8600000US02025,6101,2933,3168,132204,207255,27479,02025
8600000US02026,20488,9616,10872,96868,128863,8765,02026
8600000US02030,4325,2169,2156,224784,339622,40573,02030
8600000US02032,3233,1623,1610,130109,163322,24896,02032
8600000US02035,13699,6654,7045,98374,125437,8814,02035
8600000US02038,24801,12022,12779,115355,141798,6736,02038
8600000US02043,17128,7877,9251,133596,194652,12973,02043
8600000US02045,9040,4055,4985,85573,109935,8910,02045
8600000US02047,77,52,25,,43009,16962,02047
8600000US02048,18036,9011,9025,114720,134417,9067,02048
8600000US02050,20314,9789,10525,95168,115250,7232,02050
8600000US02052,8873,4333,4540,155039,203700,16964,02052
8600000US02053,9965,4612,5353,119450,148732,11543,02053
8600000US02054,6382,3037,3345,106336,127728,11148,02054
8600000US02056,8777,5349,3428,146607,168104,10616,02056
8600000US02061,7889,3845,4044,151306,179550,12773,02061
8600000US02062,23438,11144,12294,90511,110223,6692,02062
8600000US02066,13877,6530,7347,121231,155639,12870,02066
8600000US02067,13403,6445,6958,138650,193368,16656,02067
8600000US02071,1481,1182,299,109963,135994,38571,02071
8600000US02072,23044,10509,12535,79421,95812,4566,02072
8600000US02081,14484,6880,7604,109893,140409,10267,02081
8600000US02090,11746,5603,6143,155887,205300,18419,02090
8600000US02093,8738,4184,4554,113017,140257,8946,02093
8600000US02108,3592,1711,1881,136667,222479,41893,02108
8600000US02109,3689,2032,1657,143191,208564,29845,02109
8600000US02110,2115,963,1152,116932,272139,64878,02110
8600000US02111,7044,3146,3898,40870,114752,28295,02111
8600000US02113,7172,3683,3489,100063,121887,10202,02113
8600000US02114,12522,6305,6217,95161,143442,12102,02114
8600000US02115,27649,13622,14027,37340,72238,5541,02115
8600000US02116,21589,9993,11596,105559,198886,16014,02116
8600000US02118,23859,11963,11896,65250,137005,9878,02118
8600000US02119,21876,10017,11859,30551,51239,4335,02119
8600000US02120,13281,6725,6556,33727,52171,4390,02120
8600000US02121,21861,9507,12354,30712,50336,4041,02121
8600000US02122,20234,10214,10020,60474,78812,5334,02122
8600000US02124,42532,19084,23448,53174,75366,3762,02124
8600000US02125,27815,13667,14148,56318,80020,5812,02125
8600000US02126,22905,10493,12412,52474,70403,5443,02126
8600000US02127,32029,15380,16649,99340,121844,5121,02127
8600000US02128,37260,20249,17011,55483,75181,2988,02128
8600000US02129,15624,6944,8680,118226,151533,8429,02129
8600000US02130,34173,15872,18301,90813,114098,4791,02130
8600000US02131,26849,12065,14784,73199,95371,5765,02131
8600000US02132,22957,10679,12278,100915,118858,4778,02132
8600000US02134,18115,9442,8673,58068,76198,6198,02134
8600000US02135,40367,19490,20877,72009,89087,4519,02135
8600000US02136,26234,12074,14160,64784,82184,4717,02136
8600000US02138,34570,16612,17958,95368,145375,8239,02138
8600000US02139,33528,16688,16840,96771,124391,4986,02139
8600000US02140,17878,8455,9423,100572,130776,9165,02140
8600000US02141,12364,6428,5936,79222,102235,6811,02141
8600000US02142,3129,1550,1579,116346,174675,24797,02142
8600000US02143,23565,11489,12076,95556,111665,6041,02143
8600000US02144,23078,11632,11446,107232,127149,5514,02144
8600000US02145,22558,11482,11076,75744,92961,5789,02145
8600000US02148,49576,23596,25980,64176,79505,3689,02148
8600000US02149,34447,16624,17823,60264,73710,3574,02149
8600000US02150,29529,14975,14554,53335,68129,3135,02150
8600000US02151,43284,21589,21695,54987,72851,3337,02151
8600000US02152,15125,6843,8282,68322,94159,7101,02152
8600000US02155,51378,24344,27034,92407,114537,6089,02155
8600000US02163,2331,1116,1215,49659,66078,13561,02163
8600000US02169,47433,22461,24972,70248,86202,3396,02169
